instruction,input,output
เขียนแนะนำเกี่ยวกับการดูแลสุขภาพที่ดี,,"การดูแลสุขภาพที่ดีมีหลายวิธี เช่น การทานอาหารที่มีประโยชน์และสมดุล การออกกำลังกายอย่างระมัดระวัง การนอนหลับเพียงพอ 
การป้องกันความเครียด และการมีสมดุลในสถานที่ทำงานและช่วงเวลาส่วนตัว พยายามที่จะปฏิบัติตามคำแนะนำเหล่านี้ให้ดีที่สุดเพื่อสุขภาพที่ดีและชีวิตที่มีคุณภาพ"
แนวทางปฏิบัติในการกินอาหารเพื่อป้องกันการขาดสารอาหาร,,"โดยมีหลักปฏิบัติ 9 ประการ หรือ 4 อย่า 5 อยาก ดังนี้
4 อย่า ได้แก่ 
1. อย่า กินของมัน
2. อย่า กินรสจัด ทั้งหวาน ทั้งเค็ม
3. อย่า กินของไม่สะอาด
4. อย่า ดื่มของมึนเมา
5 อยาก ได้แก่
1. อยาก กินครบ 5 หมู่ ดูแลน้ำหนัก
2. อยาก กินข้าวเป็นหลัก
3. อยาก กินผัก ผลไม้
4. อยาก กินปลา กินไข่ เนื้อไม่ติดมัน
5. อยาก ดื่มนมให้สมวัย"
อธิบายหลักการจัดจานอาหารสุขภาพ,,"คิดเป็น กินถูก ด้วย 2 : 1 : 1 โดย
1. ให้มีผัก 2 ส่วน (2 ทัพพี)
2. เนื้อสัตว์ไขมันต่ํา 1 ส่วน (2 - 3 ช้อนกินข้าว)
3. ข้าว-แป้ง 1 ส่วน (2 - 3 ทัพพี)
เลือกกินอาหารที่ใช้ วิธีการนึ่ง ต้ม อบ แทนการผัดหรือทอด พร้อมผลไม้รสไม่หวานจัด 1 จานเล็ก"
อธิบายความต้องการพลังงานของแต่ละช่วงวัย,,"เด็ก, หญิงวัยทำงาน, ผู้สูงอายุ ต้องการพลังงาน 1,600 แคลอรี่
วัยรุ่นหญิง-ชาย, ชายวัยทำงาน ต้องการพลังงาน 2,000 แคลอรี่
หญิง-ชาย ใช้พลังงานมาก, ผู้ใช้แรงงาน ต้องการพลังงาน 2,400 แคลอรี่"
ยกตัวอย่างสัดส่วนสารอาหารที่ควรได้รับในปริมาณ 1600 แคลอรี่,,"ข้าว-แป้ง 8 ทัพพี
ผัก 6 ทัพพี
ผลไม้ 4 ส่วน
เนื้อสัตว์ 6 ช้อนกินข้าว
นมไม่เกิน 2 แก้ว
น้ำมัน 5 ช้อนกาแฟ
น้ำตาล 4 ช้อนกาแฟ"
"แจกแจงปริมาณสารอาหาร ในแต่ละหมู่ที่ควรได้รับสำหรับผู้ที่ต้องการพลังงาน
2000 แคลอรี่",,"ข้าว-แป้ง 10 ทัพพี
ผัก 5 ทัพพี
ผลไม้ 4 ส่วน
เนื้อสัตว์ 9 ช้อนกินข้าว
นมไม่เกิน 1 แก้ว
น้ำมัน 7 ช้อนกาแฟ
น้ำตาล 6 ช้อนกาแฟ"
สัดส่วนปริมาณสารอาหารที่ควรได้รับสำหรับพลังงาน  2400 แคลอรี่,,"ข้าว-แป้ง 12 ทัพพี
ผัก 6 ทัพพี
ผลไม้ 5 ส่วน
เนื้อสัตว์ 12 ช้อนกินข้าว
นมไม่เกิน 1 แก้ว
น้ำมัน 9 ช้อนกาแฟ
น้ำตาล 8 ช้อนกาแฟ"
ยกตัวอย่างเมนูสุขภาพประจำวันสำหรับผู้สูงอายุ,,"พลังงานที่ได้รับต่อวัน 1,600 แคลอรี่
มื้อเช้า - ข้าวต้ม (กล้อง) ผัดผักบุ้ง ยำไข่ต้ม 
มื้อกลางวัน - สุกี้น้ำ และถั่วแดงต้มน้ำตาล 
มื้อเย็น - ข้าวกล้อง แกงส้มผักรวม"
แนะนำวัตถุดิบในการทำเมนูสุกี้น้ำสุขภาพ,เนื้อสัตว์  : ไก่,"1. วุ้นเส้น 4 ทัพพี
2. ผักต้ม 1 ทัพพี
3. ไข่ 1 ฟอง
4. เนื้อไก่ 2 ช้อนโต๊ะ"
ยกตัวอย่างเมนูสุขภาพประจำวันสำหรับเด็ก,,"พลังงานที่ได้รับต่อวัน 1,600 แคลอรี่
มื้อเช้า - แซนวิชทูน่า
มื้อกลางวัน - ก๋วยเตี๋ยวเส้นหมี่หมูตุ๋น
มื้อเย็น - ข้าวสวย + คะน้าผัดกุ้ง"
