instruction,input,output
เขียนแนะนำเกี่ยวกับการดูแลสุขภาพที่ดี,,"การดูแลสุขภาพที่ดีมีหลายวิธี เช่น การทานอาหารที่มีประโยชน์และสมดุล การออกกำลังกายอย่างระมัดระวัง การนอนหลับเพียงพอ 
การป้องกันความเครียด และการมีสมดุลในสถานที่ทำงานและช่วงเวลาส่วนตัว พยายามที่จะปฏิบัติตามคำแนะนำเหล่านี้ให้ดีที่สุดเพื่อสุขภาพที่ดีและชีวิตที่มีคุณภาพ"
NCDs ย่อมาจากอะไร,,non-communicable diseases
NCDs คืออะไร,,"เป็นกลุ่มโรคไม่ติดต่อเรื้อรัง คือ ไม่ได้เกิดจากเชื้อโรคและไม่สามารถแพร่กระจายจากคนสู่คนได้ แต่เป็นโรคที่เกิดจากนิสัยหรือพฤติกรรมการดำเนินชีวิต 
ซึ่งจะมีการดำเนินโรคอย่างช้าๆ ค่อยๆ สะสมอาการอย่างต่อเนื่อง และเมื่อมีอาการของโรคแล้วมักจะเกิดการเรื้อรังของโรคด้วย"
ตัวอย่างของโรค NCDs มีอะไรบ้าง,,"โรคทางระบบหัวใจและหลอดเลือด เช่น โรคความดันโลหิตสูง โรคหลอดเลือดหัวใจ, โรคหลอดเลือดสมอง, โรคเบาหวาน, โรคมะเร็งต่างๆ,
โรคระบบทางเดินหายใจเรื้อรัง เช่น โรคปอดอุดกั้นเรื้อรัง ถุงลมโป่งพอง, โรคอ้วนลงพุง"
ตัวอย่างโรคทางระบบหัวใจและหลอดเลือดมีอะไรบ้าง,,"โรคความดันโลหิตสูง,โรคหลอดเลือดหัวใจ"
ตัวอย่างโรคระบบทางเดินหายใจเรื้อรังมีอะไรบ้าง,,"โรคปอดอุดกั้นเรื้อรัง,ถุงลมโป่งพอง"
สาเหตุที่ทำให้เกิดโรค NCDs มีอะไรบ้าง,,"สาเหตุหลักสำคัญของกลุ่มโรค NCDs คือพฤติกรรมเสี่ยงต่างๆ ในการดำเนินชีวิต ไม่ว่าจะเป็นการรับประทานอาหารรสจัด เช่น หวานจัด เค็มจัด 
อาหารที่มีไขมันสูง อาหารปิ้งย่าง การดื่มเครื่องดื่มแอลกอฮอล์ การสูบบุหรี่ การไม่ออกกำลังกาย การนอนดึก การมีความเครียดสูง 
การรับประทานยาโดยไม่ปรึกษาแพทย์ เป็นต้น ดังนั้นคนที่มีพฤติกรรมการดำเนินชีวิตเช่นนี้จึงมีความเสี่ยงที่จะเป็นโรค NCDs ได้มากกว่าคนอื่นๆ"
ความรุนแรงของโรค NCDs มีอะไรบ้าง,,"โรค NCDs จะไม่ใช่โรคติดต่อ แต่จากข้อมูลขององค์การอนามัยโลกพบว่า ตลอดช่วงเวลา 10 ปีที่ผ่านมากลุ่มโรค NCDs 
เป็นสาเหตุของการเสียชีวิตอันดับหนึ่งของคนไทย โดยมีคนไทยป่วยด้วยโรค NCDs ถึง 14 ล้านคน เสียชีวิตกว่า 300,000 คนต่อปี 
และคาดว่าจะมีแนวโน้มเพิ่มมากขึ้นในทุกๆ ปี ซึ่งส่วนใหญ่เสียชีวิตก่อนอายุ 60 ปี"
วิธีการป้องกันโรค NCDs มีอะไรบ้าง,,"- รับประทานอาหารที่มีประโยชน์ให้ครบ 5 หมู่ เน้นการรับประทานผักและผลไม้
- หลีกเลี่ยงการรับประทานอาหารรสหวานจัด เค็มจัด อาหารมัน รวมถึงอาหารปิ้งย่าง
- ออกกำลังกายอย่างสม่ำเสมอ อย่างน้อย 30 นาที/ครั้ง สัปดาห์ละ 5 ครั้ง
- งดดื่มเครื่องดื่มแอลกอฮอล์
- งดสูบบุหรี่
- พักผ่อนให้เพียงพอ
- ผ่อนคลายความเครียด
- ตรวจสุขภาพประจำปีอย่างสม่ำเสมอ
- รับประทานยาตามแพทย์สั่ง ไม่ซื้อยารับประทานเองโดยไม่ปรึกษาแพทย์หรือเภสัชกร
- หากมีอาการผิดปกติใดๆ ควรรีบปรึกษาแพทย์"
คนเราควรนอนวันละกี่ชั่วโมง,,ควรอยู่ที่ 6-8 ชั่วโมง/วัน 
